Technical,Leadership,Domain Knowledge,Soft skills
digital technology,transformation,banking,manage
digital transformation,strategy,roi,influence
it,change management,cost benefit analysis,motivate
software development,project management,financial modeling,campaign
software engineering,product management,vendor management,communicate
cybersecurity,marketing,financial planning,analytical thinking
data science,stakeholder management,financial analysis,problem solving
data analysis,negotiation,financial reporting,collaboration
programming,client management,financial forecasting,streamline
testing,customer satisfaction,tax auditing,partnership
data engineering,customer retention,expense reporting,culture
automation,innovation,budgeting,
data management,root cause analysis,accounting,
excel,supervision,credit analysis,
ai,stakeholder meeting,risk management,
machine learning,,audit,
powerpoint,,compliance,
powerbi,,balance sheet,
sql,,,
python,,,
